AAPL,0
ADBE,0
ABT,0
BMY,0
COF,0.234
GS,0.044
SPG,0.234
AMT,0
PM,0
KHC,0
DUK,0
NEE,0
NFLX,0
T,0
XOM,0
COP,0.234
EMR,0.02
LOW,0.234
MCD,0
,
,0
